station,avg_arr_delay,train_no,days,type
MUMBAI CENTRAL,0.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
BORIVALI,13.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
VAPI,2.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
SURAT,0.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
VADODARA JN,4.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
AHMEDABAD JN,0.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
GANDHINAGAR CAPITAL,0.0,20901,"Mon,Tue,Thu,Fri,Sat,Sun",VANDE BHARAT
LOKMANYATILAK,0.0,15017,Daily,MAIL EXPRESS
THANE,19.0,15017,Daily,MAIL EXPRESS
KALYAN JN,28.0,15017,Daily,MAIL EXPRESS
IGATPURI,41.0,15017,Daily,MAIL EXPRESS
NASIK ROAD,38.0,15017,Daily,MAIL EXPRESS
LASALGAON,39.0,15017,Daily,MAIL EXPRESS
MANMAD JN,25.0,15017,Daily,MAIL EXPRESS
NANDGAON,33.0,15017,Daily,MAIL EXPRESS
CHALISGAON JN,44.0,15017,Daily,MAIL EXPRESS
PACHORA JN,44.0,15017,Daily,MAIL EXPRESS
JALGAON JN,48.0,15017,Daily,MAIL EXPRESS
BHUSAVAL JN,31.0,15017,Daily,MAIL EXPRESS
RAVER,62.0,15017,Daily,MAIL EXPRESS
BURHANPUR,74.0,15017,Daily,MAIL EXPRESS
NEPANAGAR,67.0,15017,Daily,MAIL EXPRESS
KHANDWA JUNCTION,40.0,15017,Daily,MAIL EXPRESS
TALVADYA,31.0,15017,Daily,MAIL EXPRESS
CHHANERA,49.0,15017,Daily,MAIL EXPRESS
KHIRKIYA,38.0,15017,Daily,MAIL EXPRESS
HARDA,48.0,15017,Daily,MAIL EXPRESS
TIMARNI,60.0,15017,Daily,MAIL EXPRESS
BANAPURA,26.0,15017,Daily,MAIL EXPRESS
ITARSI JN,10.0,15017,Daily,MAIL EXPRESS
SOHAGPUR,22.0,15017,Daily,MAIL EXPRESS
PIPARIYA,20.0,15017,Daily,MAIL EXPRESS
GADARWARA,29.0,15017,Daily,MAIL EXPRESS
KARELI,33.0,15017,Daily,MAIL EXPRESS
NARSINGHPUR,31.0,15017,Daily,MAIL EXPRESS
SRIDHAM,31.0,15017,Daily,MAIL EXPRESS
MADAN MAHAL,17.0,15017,Daily,MAIL EXPRESS
JABALPUR,23.0,15017,Daily,MAIL EXPRESS
SIHORA ROAD,24.0,15017,Daily,MAIL EXPRESS
KATNI,29.0,15017,Daily,MAIL EXPRESS
MAIHAR,42.0,15017,Daily,MAIL EXPRESS
SATNA,26.0,15017,Daily,MAIL EXPRESS
JAITWAR,37.0,15017,Daily,MAIL EXPRESS
MANIKPUR JN,2.0,15017,Daily,MAIL EXPRESS
DABHAURA,20.0,15017,Daily,MAIL EXPRESS
SHANKARGARH,33.0,15017,Daily,MAIL EXPRESS
AUNRIHAR JN.,156.0,15017,Daily,MAIL EXPRESS
SADAT,159.0,15017,Daily,MAIL EXPRESS
JAKHANIAN,159.0,15017,Daily,MAIL EXPRESS
DULLAHAPUR,160.0,15017,Daily,MAIL EXPRESS
MAU JN,159.0,15017,Daily,MAIL EXPRESS
INDARA JN,165.0,15017,Daily,MAIL EXPRESS
BELTHARA ROAD,158.0,15017,Daily,MAIL EXPRESS
LAR ROAD,169.0,15017,Daily,MAIL EXPRESS
SALEMPUR JN,169.0,15017,Daily,MAIL EXPRESS
BHATNI JN,172.0,15017,Daily,MAIL EXPRESS
DEORIA SADAR,188.0,15017,Daily,MAIL EXPRESS
CHAURI CHAURA,188.0,15017,Daily,MAIL EXPRESS
GORAKHPUR JN,228.0,15017,Daily,MAIL EXPRESS
MUMBAI CENTRAL,0.0,12921,Daily,SUPERFAST
ANDHERI,13.0,12921,Daily,SUPERFAST
BORIVALI,15.0,12921,Daily,SUPERFAST
PALGHAR,14.0,12921,Daily,SUPERFAST
DAHANU ROAD,14.0,12921,Daily,SUPERFAST
VAPI,13.0,12921,Daily,SUPERFAST
VALSAD,4.0,12921,Daily,SUPERFAST
BILIMORA JN,6.0,12921,Daily,SUPERFAST
AMALSAD,8.0,12921,Daily,SUPERFAST
NAVSARI,4.0,12921,Daily,SUPERFAST
MAROLI,11.0,12921,Daily,SUPERFAST
SACHIN,14.0,12921,Daily,SUPERFAST
UDHNA JN,14.0,12921,Daily,SUPERFAST
SURAT,7.0,12921,Daily,SUPERFAST
LOKMANYATILAK,0.0,22848,Tue,SUPERFAST
KALYAN JN,11.0,22848,Tue,SUPERFAST
NASIK ROAD,15.0,22848,Tue,SUPERFAST
MANMAD JN,27.0,22848,Tue,SUPERFAST
BHUSAVAL JN,28.0,22848,Tue,SUPERFAST
AKOLA JN.,41.0,22848,Tue,SUPERFAST
BADNERA JN.,18.0,22848,Tue,SUPERFAST
WARDHA JN,26.0,22848,Tue,SUPERFAST
NAGPUR,9.0,22848,Tue,SUPERFAST
